review_text,rating,review_no_rating,tokens,clean_text
"4.0 • Wonderful. The design, build quality, OS, battery backup are also good, sound quality is really impressive and Apple brand value, these are the pros in this mobile. Cons: 1.The display is not up to the mark, be... more",4,"Wonderful. The design, build quality, OS, battery backup are also good, sound quality is really impressive and Apple brand value, these are the pros in this mobile. Cons: 1.The display is not up to the mark, be... more","['wonderful', 'design', 'build', 'quality', 'o', 'battery', 'backup', 'also', 'good', 'sound', 'quality', 'really', 'impressive', 'apple', 'brand', 'value', 'pro', 'mobile', 'con', 'display', 'mark']",wonderful design build quality o battery backup also good sound quality really impressive apple brand value pro mobile con display mark
5.0 • Best in the market!. Finally I got it 😃 and love it 😘,5,Best in the market!. Finally I got it 😃 and love it 😘,"['best', 'market', 'finally', 'got', 'love']",best market finally got love
5.0 • Perfect product!. Awesome product,5,Perfect product!. Awesome product,"['perfect', 'product', 'awesome', 'product']",perfect product awesome product
5.0 • Just wow!. Super camera resolution battery also super fast charger performance -100% design-camera design super,5,Just wow!. Super camera resolution battery also super fast charger performance -100% design-camera design super,"['wow', 'super', 'camera', 'resolution', 'battery', 'also', 'super', 'fast', 'charger', 'performance', 'designcamera', 'design', 'super']",wow super camera resolution battery also super fast charger performance designcamera design super
5.0 • Perfect product!. Recently changed from Android to Iphone seems a smooth ui and best experience,5,Perfect product!. Recently changed from Android to Iphone seems a smooth ui and best experience,"['perfect', 'product', 'recently', 'changed', 'android', 'iphone', 'seems', 'smooth', 'ui', 'best', 'experience']",perfect product recently changed android iphone seems smooth ui best experience
5.0 • Best in the market!. Got it in Sasa Lele Sale Teal Color just look awesome 😍😍,5,Best in the market!. Got it in Sasa Lele Sale Teal Color just look awesome 😍😍,"['best', 'market', 'got', 'sasa', 'lele', 'sale', 'teal', 'color', 'look', 'awesome']",best market got sasa lele sale teal color look awesome
5.0 • Best in the market!. Super and safe,5,Best in the market!. Super and safe,"['best', 'market', 'super', 'safe']",best market super safe
5.0 • Terrific. Best phone,5,Terrific. Best phone,"['terrific', 'best', 'phone']",terrific best phone
5.0 • Terrific. Camera is very good but I'm really missing a telephoto lens... However the 2x zoom is really lossless zoom and i loved it 😍 1st time using i os... Switching from android...its a bit difficult tusk t... more,5,Terrific. Camera is very good but I'm really missing a telephoto lens... However the 2x zoom is really lossless zoom and i loved it 😍 1st time using i os... Switching from android...its a bit difficult tusk t... more,"['terrific', 'camera', 'good', 'im', 'really', 'missing', 'telephoto', 'lens', 'however', 'zoom', 'really', 'lossless', 'zoom', 'loved', 'time', 'using', 'o', 'switching', 'androidits', 'bit', 'difficult', 'tusk']",terrific camera good im really missing telephoto lens however zoom really lossless zoom loved time using o switching androidits bit difficult tusk
"5.0 • Terrific purchase. Bought the phone solely for battery performance and assuming camera of iPhones are always good. A bit of disappointment as I switched from Samsung S22 Plus which offered great screen quality, excellen... more",5,"Terrific purchase. Bought the phone solely for battery performance and assuming camera of iPhones are always good. A bit of disappointment as I switched from Samsung S22 Plus which offered great screen quality, excellen... more","['terrific', 'purchase', 'bought', 'phone', 'solely', 'battery', 'performance', 'assuming', 'camera', 'iphones', 'always', 'good', 'bit', 'disappointment', 'switched', 'samsung', 'plus', 'offered', 'great', 'screen', 'quality', 'excellen']",terrific purchase bought phone solely battery performance assuming camera iphones always good bit disappointment switched samsung plus offered great screen quality excellen
5.0 • Worth every penny. Best phone,5,Worth every penny. Best phone,"['worth', 'every', 'penny', 'best', 'phone']",worth every penny best phone
5.0 • Terrific purchase. Great iphone !,5,Terrific purchase. Great iphone !,"['terrific', 'purchase', 'great', 'iphone']",terrific purchase great iphone
5.0 • Fabulous!. 🥰Good Products,5,Fabulous!. 🥰Good Products,"['fabulous', 'product']",fabulous product
5.0 • Classy product. Great Product received via Flipkart. Everything is perfect about this phone except battery backup. I think need to work on battery,5,Classy product. Great Product received via Flipkart. Everything is perfect about this phone except battery backup. I think need to work on battery,"['classy', 'product', 'great', 'product', 'received', 'via', 'flipkart', 'everything', 'perfect', 'phone', 'except', 'battery', 'backup', 'think', 'need', 'work', 'battery']",classy product great product received via flipkart everything perfect phone except battery backup think need work battery
4.0 • Wonderful. Justt go for it 🔥,4,Wonderful. Justt go for it 🔥,"['wonderful', 'justt', 'go']",wonderful justt go
5.0 • Awesome. Love it no complaints!,5,Awesome. Love it no complaints!,"['awesome', 'love', 'complaint']",awesome love complaint
5.0 • Super!. One of the best phone,5,Super!. One of the best phone,"['super', 'one', 'best', 'phone']",super one best phone
4.0 • Very Good. iPhone 16 has good quality camera and performance super bbb,4,Very Good. iPhone 16 has good quality camera and performance super bbb,"['good', 'iphone', 'good', 'quality', 'camera', 'performance', 'super', 'bbb']",good iphone good quality camera performance super bbb
5.0 • Great product. Loved it,5,Great product. Loved it,"['great', 'product', 'loved']",great product loved
5.0 • Just wow!. Upgraded from iphone 12mini Good battery life and performance 🔥 Ultramarine the best one,5,Just wow!. Upgraded from iphone 12mini Good battery life and performance 🔥 Ultramarine the best one,"['wow', 'upgraded', 'iphone', 'good', 'battery', 'life', 'performance', 'ultramarine', 'best', 'one']",wow upgraded iphone good battery life performance ultramarine best one
5.0 • Terrific. Everything is fantastic go for it 🫶🏻❤️,5,Terrific. Everything is fantastic go for it 🫶🏻❤️,"['terrific', 'everything', 'fantastic', 'go']",terrific everything fantastic go
"5.0 • Terrific. Upgraded from iPhone 12 to iPhone 16 and the difference is clear. Build quality feels premium and solid, and the camera is amazing, especially for photography and low-light shots. Performance is super... more",5,"Terrific. Upgraded from iPhone 12 to iPhone 16 and the difference is clear. Build quality feels premium and solid, and the camera is amazing, especially for photography and low-light shots. Performance is super... more","['terrific', 'upgraded', 'iphone', 'iphone', 'difference', 'clear', 'build', 'quality', 'feel', 'premium', 'solid', 'camera', 'amazing', 'especially', 'photography', 'lowlight', 'shot', 'performance', 'super']",terrific upgraded iphone iphone difference clear build quality feel premium solid camera amazing especially photography lowlight shot performance super
5.0 • Highly recommended. like it feel premium,5,Highly recommended. like it feel premium,"['highly', 'recommended', 'like', 'feel', 'premium']",highly recommended like feel premium
4.0 • Horrible. Battery gets drain in 6-7 hr with even just normal uses. Don't buy this phone. I got frustrated with this issue,4,Horrible. Battery gets drain in 6-7 hr with even just normal uses. Don't buy this phone. I got frustrated with this issue,"['horrible', 'battery', 'get', 'drain', 'hr', 'even', 'normal', 'us', 'dont', 'buy', 'phone', 'got', 'frustrated', 'issue']",horrible battery get drain hr even normal us dont buy phone got frustrated issue
5.0 • Super!. My wife 1st i phone thank you 🙏,5,Super!. My wife 1st i phone thank you 🙏,"['super', 'wife', 'phone', 'thank']",super wife phone thank
5.0 • Wonderful. Just wow it's worth the price,5,Wonderful. Just wow it's worth the price,"['wonderful', 'wow', 'worth', 'price']",wonderful wow worth price
5.0 • Awesome. The display is absolutely crazy and also I can say that the haptics of the phone is super smooth but only concerned is that image editing ai is not good as Samsung,5,Awesome. The display is absolutely crazy and also I can say that the haptics of the phone is super smooth but only concerned is that image editing ai is not good as Samsung,"['awesome', 'display', 'absolutely', 'crazy', 'also', 'say', 'haptics', 'phone', 'super', 'smooth', 'concerned', 'image', 'editing', 'ai', 'good', 'samsung']",awesome display absolutely crazy also say haptics phone super smooth concerned image editing ai good samsung
5.0 • Perfect product!. Performance 🔝📈,5,Perfect product!. Performance 🔝📈,"['perfect', 'product', 'performance']",perfect product performance
"5.0 • Just wow!. Great Deal and Bank offer on Flipkart. Camera is excellent but observed heating issue while transferring data and while charging. I used to get same overheating issue in my Iphone 11, heating issue ... more",5,"Just wow!. Great Deal and Bank offer on Flipkart. Camera is excellent but observed heating issue while transferring data and while charging. I used to get same overheating issue in my Iphone 11, heating issue ... more","['wow', 'great', 'deal', 'bank', 'offer', 'flipkart', 'camera', 'excellent', 'observed', 'heating', 'issue', 'transferring', 'data', 'charging', 'used', 'get', 'overheating', 'issue', 'iphone', 'heating', 'issue']",wow great deal bank offer flipkart camera excellent observed heating issue transferring data charging used get overheating issue iphone heating issue
5.0 • Highly recommended. Top notch camera quality and very good performance overall too good without any hesitation go for it ☠️🌚,5,Highly recommended. Top notch camera quality and very good performance overall too good without any hesitation go for it ☠️🌚,"['highly', 'recommended', 'top', 'notch', 'camera', 'quality', 'good', 'performance', 'overall', 'good', 'without', 'hesitation', 'go']",highly recommended top notch camera quality good performance overall good without hesitation go
5.0 • A Great upgrade from iPhone 12!. Upgraded to the 16 from my 12 and it is a great phone. The Ultramarine Blue looks and feels sooo good. The photos don't do enough justice to this variant. You definitely do not need to upgrade to thi... more,5,A Great upgrade from iPhone 12!. Upgraded to the 16 from my 12 and it is a great phone. The Ultramarine Blue looks and feels sooo good. The photos don't do enough justice to this variant. You definitely do not need to upgrade to thi... more,"['great', 'upgrade', 'iphone', 'upgraded', 'great', 'phone', 'ultramarine', 'blue', 'look', 'feel', 'sooo', 'good', 'photo', 'dont', 'enough', 'justice', 'variant', 'definitely', 'need', 'upgrade', 'thi']",great upgrade iphone upgraded great phone ultramarine blue look feel sooo good photo dont enough justice variant definitely need upgrade thi
5.0 • Super!. iPhone 16 is a wonderful cell phone from all aspects at this price range. 48MP camera is outstanding. I bought 256GB model. I would recommend to buy the product,5,Super!. iPhone 16 is a wonderful cell phone from all aspects at this price range. 48MP camera is outstanding. I bought 256GB model. I would recommend to buy the product,"['super', 'iphone', 'wonderful', 'cell', 'phone', 'aspect', 'price', 'range', 'camera', 'outstanding', 'bought', 'model', 'would', 'recommend', 'buy', 'product']",super iphone wonderful cell phone aspect price range camera outstanding bought model would recommend buy product
5.0 • Wonderful. This phone is really amazing,5,Wonderful. This phone is really amazing,"['wonderful', 'phone', 'really', 'amazing']",wonderful phone really amazing
5.0 • Just wow!. Amazing,5,Just wow!. Amazing,"['wow', 'amazing']",wow amazing
5.0 • Terrific purchase. good,5,Terrific purchase. good,"['terrific', 'purchase', 'good']",terrific purchase good
5.0 • Highly recommended. BEST,5,Highly recommended. BEST,"['highly', 'recommended', 'best']",highly recommended best
5.0 • Must buy!. Awesome product 👌 Battery 🔋👌 Camera 📷👌 Body 🤖💙,5,Must buy!. Awesome product 👌 Battery 🔋👌 Camera 📷👌 Body 🤖💙,"['must', 'buy', 'awesome', 'product', 'battery', 'camera', 'body']",must buy awesome product battery camera body
5.0 • Terrific. iPhone 16 is best for those who not buy 15 series. And it has very best hand feel,5,Terrific. iPhone 16 is best for those who not buy 15 series. And it has very best hand feel,"['terrific', 'iphone', 'best', 'buy', 'series', 'best', 'hand', 'feel']",terrific iphone best buy series best hand feel
5.0 • Just wow!. NO DOUBT ABOUT IPHONE 16. CAMERA IS EXCELLENT. BATTERY IS MODERATE. DISPLAY IS MUCH BETTER. DESIGN AND PERFORMANCE IS ALSO GOOD. I HAVE A IPHONE XR SINCE 2021 TO STILL NOW. SO I KNOW ABOUT IPHONE THAN... more,5,Just wow!. NO DOUBT ABOUT IPHONE 16. CAMERA IS EXCELLENT. BATTERY IS MODERATE. DISPLAY IS MUCH BETTER. DESIGN AND PERFORMANCE IS ALSO GOOD. I HAVE A IPHONE XR SINCE 2021 TO STILL NOW. SO I KNOW ABOUT IPHONE THAN... more,"['wow', 'doubt', 'iphone', 'camera', 'excellent', 'battery', 'moderate', 'display', 'much', 'better', 'design', 'performance', 'also', 'good', 'iphone', 'xr', 'since', 'still', 'know', 'iphone']",wow doubt iphone camera excellent battery moderate display much better design performance also good iphone xr since still know iphone
"4.0 • Very Good. I Love This iPhone Teal Colour Camera Is Good Performance Is Good Battery Is Also Good As Compare To Previous Version Design Is Lovely, In-hand Feel Premium 👌🏻😀",4,"Very Good. I Love This iPhone Teal Colour Camera Is Good Performance Is Good Battery Is Also Good As Compare To Previous Version Design Is Lovely, In-hand Feel Premium 👌🏻😀","['good', 'love', 'iphone', 'teal', 'colour', 'camera', 'good', 'performance', 'good', 'battery', 'also', 'good', 'compare', 'previous', 'version', 'design', 'lovely', 'inhand', 'feel', 'premium']",good love iphone teal colour camera good performance good battery also good compare previous version design lovely inhand feel premium
5.0 • Perfect product!. Awesome 🥰 Protect loved lt,5,Perfect product!. Awesome 🥰 Protect loved lt,"['perfect', 'product', 'awesome', 'protect', 'loved', 'lt']",perfect product awesome protect loved lt
5.0 • Fabulous!. Satisfaction on 🔝,5,Fabulous!. Satisfaction on 🔝,"['fabulous', 'satisfaction']",fabulous satisfaction
"5.0 • Fabulous!. Excellent product received, Thank you Flipkart",5,"Fabulous!. Excellent product received, Thank you Flipkart","['fabulous', 'excellent', 'product', 'received', 'thank', 'flipkart']",fabulous excellent product received thank flipkart
5.0 • Awesome. Very good,5,Awesome. Very good,"['awesome', 'good']",awesome good
5.0 • Great product. Love it,5,Great product. Love it,"['great', 'product', 'love']",great product love
"5.0 • Awesome. I have been an Android user for 10 years, so I got the iPhone 16 as a secondary phone. It does the job, but honestly, nothing beats the freedom of an Android. It's like buying a fancy paperweight. 🥸",5,"Awesome. I have been an Android user for 10 years, so I got the iPhone 16 as a secondary phone. It does the job, but honestly, nothing beats the freedom of an Android. It's like buying a fancy paperweight. 🥸","['awesome', 'android', 'user', 'year', 'got', 'iphone', 'secondary', 'phone', 'job', 'honestly', 'nothing', 'beat', 'freedom', 'android', 'like', 'buying', 'fancy', 'paperweight']",awesome android user year got iphone secondary phone job honestly nothing beat freedom android like buying fancy paperweight
5.0 • Must buy!. Wonderfully lightweight stuff. Worth purchasing. Improved speakers and a more seamless display. Incredibly cozy to use with one hand. Go for Teal colour,5,Must buy!. Wonderfully lightweight stuff. Worth purchasing. Improved speakers and a more seamless display. Incredibly cozy to use with one hand. Go for Teal colour,"['must', 'buy', 'wonderfully', 'lightweight', 'stuff', 'worth', 'purchasing', 'improved', 'speaker', 'seamless', 'display', 'incredibly', 'cozy', 'use', 'one', 'hand', 'go', 'teal', 'colour']",must buy wonderfully lightweight stuff worth purchasing improved speaker seamless display incredibly cozy use one hand go teal colour
5.0 • Just wow!. My first iphone 😍😌🙂.... Nice ❤,5,Just wow!. My first iphone 😍😌🙂.... Nice ❤,"['wow', 'first', 'iphone', 'nice']",wow first iphone nice
5.0 • Wonderful. Amazing purchase 😊,5,Wonderful. Amazing purchase 😊,"['wonderful', 'amazing', 'purchase']",wonderful amazing purchase
5.0 • Just wow!. Nice 💕,5,Just wow!. Nice 💕,"['wow', 'nice']",wow nice
5.0 • Fabulous!. Colour is very good also camera placement,5,Fabulous!. Colour is very good also camera placement,"['fabulous', 'colour', 'good', 'also', 'camera', 'placement']",fabulous colour good also camera placement
5.0 • Brilliant. Best for videography and also good for photos if you are interested in little bit editing . Look and feel of the phone is premium and top notch software experience . Battery backup is good considering... more,5,Brilliant. Best for videography and also good for photos if you are interested in little bit editing . Look and feel of the phone is premium and top notch software experience . Battery backup is good considering... more,"['brilliant', 'best', 'videography', 'also', 'good', 'photo', 'interested', 'little', 'bit', 'editing', 'look', 'feel', 'phone', 'premium', 'top', 'notch', 'software', 'experience', 'battery', 'backup', 'good', 'considering']",brilliant best videography also good photo interested little bit editing look feel phone premium top notch software experience battery backup good considering
5.0 • Highly recommended. Bad camera quality at this range. Go for samsumg s25,5,Highly recommended. Bad camera quality at this range. Go for samsumg s25,"['highly', 'recommended', 'bad', 'camera', 'quality', 'range', 'go', 'samsumg']",highly recommended bad camera quality range go samsumg
5.0 • Great product. All good,5,Great product. All good,"['great', 'product', 'good']",great product good
5.0 • Excellent. Its a fake details I haven't ordered Any Phone yet But showing I phone jad ordered from I'd and it's Already delivered Request to Ekart to look in to this Its Wrong things it should check on priority,5,Excellent. Its a fake details I haven't ordered Any Phone yet But showing I phone jad ordered from I'd and it's Already delivered Request to Ekart to look in to this Its Wrong things it should check on priority,"['excellent', 'fake', 'detail', 'havent', 'ordered', 'phone', 'yet', 'showing', 'phone', 'jad', 'ordered', 'id', 'already', 'delivered', 'request', 'ekart', 'look', 'wrong', 'thing', 'check', 'priority']",excellent fake detail havent ordered phone yet showing phone jad ordered id already delivered request ekart look wrong thing check priority
5.0 • Super!. Camera 10/10 Battery 10/8 Display 10/10 Design 10/10 Performance 10/10 Finally a Great Phone in this price segment ❣️,5,Super!. Camera 10/10 Battery 10/8 Display 10/10 Design 10/10 Performance 10/10 Finally a Great Phone in this price segment ❣️,"['super', 'camera', 'battery', 'display', 'design', 'performance', 'finally', 'great', 'phone', 'price', 'segment']",super camera battery display design performance finally great phone price segment
5.0 • Excellent. Iphone 16 over powered phone all functions and features are next level,5,Excellent. Iphone 16 over powered phone all functions and features are next level,"['excellent', 'iphone', 'powered', 'phone', 'function', 'feature', 'next', 'level']",excellent iphone powered phone function feature next level
5.0 • Best in the market!. Amazing fone,5,Best in the market!. Amazing fone,"['best', 'market', 'amazing', 'fone']",best market amazing fone
"5.0 • Best in the market!. Worth purchase, good display and camera, battery can last almost a day on moderate usage without gaming, amazing sound quality. overall a perfect compact phone",5,"Best in the market!. Worth purchase, good display and camera, battery can last almost a day on moderate usage without gaming, amazing sound quality. overall a perfect compact phone","['best', 'market', 'worth', 'purchase', 'good', 'display', 'camera', 'battery', 'last', 'almost', 'day', 'moderate', 'usage', 'without', 'gaming', 'amazing', 'sound', 'quality', 'overall', 'perfect', 'compact', 'phone']",best market worth purchase good display camera battery last almost day moderate usage without gaming amazing sound quality overall perfect compact phone
5.0 • Terrific purchase. Great,5,Terrific purchase. Great,"['terrific', 'purchase', 'great']",terrific purchase great
"5.0 • Perfect product!. This is Apple 😁 The best quality delivered always. When I was installing my backup from my iPad, it became very hot during camera operation. But after the software update, gradually it became normal.... more",5,"Perfect product!. This is Apple 😁 The best quality delivered always. When I was installing my backup from my iPad, it became very hot during camera operation. But after the software update, gradually it became normal.... more","['perfect', 'product', 'apple', 'best', 'quality', 'delivered', 'always', 'installing', 'backup', 'ipad', 'became', 'hot', 'camera', 'operation', 'software', 'update', 'gradually', 'became', 'normal']",perfect product apple best quality delivered always installing backup ipad became hot camera operation software update gradually became normal
5.0 • Worth every penny. Fantastic ❤️,5,Worth every penny. Fantastic ❤️,"['worth', 'every', 'penny', 'fantastic']",worth every penny fantastic
5.0 • Worth every penny. My first iPhone and it's literally amazing although I like its performance and camera my overall experience is very good!,5,Worth every penny. My first iPhone and it's literally amazing although I like its performance and camera my overall experience is very good!,"['worth', 'every', 'penny', 'first', 'iphone', 'literally', 'amazing', 'although', 'like', 'performance', 'camera', 'overall', 'experience', 'good']",worth every penny first iphone literally amazing although like performance camera overall experience good
"5.0 • Super!. Amazing device, everything is top notch",5,"Super!. Amazing device, everything is top notch","['super', 'amazing', 'device', 'everything', 'top', 'notch']",super amazing device everything top notch
"4.0 • Good quality product. I have switched from Pixel 6a to iPhone 16 , everything is good but camera is no match to pixel, even with 12 megapixel camera pixel 6a was much better",4,"Good quality product. I have switched from Pixel 6a to iPhone 16 , everything is good but camera is no match to pixel, even with 12 megapixel camera pixel 6a was much better","['good', 'quality', 'product', 'switched', 'pixel', 'iphone', 'everything', 'good', 'camera', 'match', 'pixel', 'even', 'megapixel', 'camera', 'pixel', 'much', 'better']",good quality product switched pixel iphone everything good camera match pixel even megapixel camera pixel much better
5.0 • Awesome Product. Upgrading from 12 mini. Awesome product. As usual performance is smooth for normal usage. Battery life is also good considering this form factor. Only downside is Apple Intelligence is not available o... more,5,Awesome Product. Upgrading from 12 mini. Awesome product. As usual performance is smooth for normal usage. Battery life is also good considering this form factor. Only downside is Apple Intelligence is not available o... more,"['awesome', 'product', 'upgrading', 'mini', 'awesome', 'product', 'usual', 'performance', 'smooth', 'normal', 'usage', 'battery', 'life', 'also', 'good', 'considering', 'form', 'factor', 'downside', 'apple', 'intelligence', 'available']",awesome product upgrading mini awesome product usual performance smooth normal usage battery life also good considering form factor downside apple intelligence available
5.0 • Brilliant. BEST CAMERA QUALITY AS ALWAYS AND OVERALL LOVED IT VERY MUCH. SMALL HANDY AND LIGHT WEIGHT ❤️ GO FOR IT 👍,5,Brilliant. BEST CAMERA QUALITY AS ALWAYS AND OVERALL LOVED IT VERY MUCH. SMALL HANDY AND LIGHT WEIGHT ❤️ GO FOR IT 👍,"['brilliant', 'best', 'camera', 'quality', 'always', 'overall', 'loved', 'much', 'small', 'handy', 'light', 'weight', 'go']",brilliant best camera quality always overall loved much small handy light weight go
5.0 • Simply awesome. Upgraded from iPhone 13. UI wise there is no difference. The major that I have noticed as per my usage is the camera clarity. The Dynamic Island is also a great feature to redirect the things quickly,5,Simply awesome. Upgraded from iPhone 13. UI wise there is no difference. The major that I have noticed as per my usage is the camera clarity. The Dynamic Island is also a great feature to redirect the things quickly,"['simply', 'awesome', 'upgraded', 'iphone', 'ui', 'wise', 'difference', 'major', 'noticed', 'per', 'usage', 'camera', 'clarity', 'dynamic', 'island', 'also', 'great', 'feature', 'redirect', 'thing', 'quickly']",simply awesome upgraded iphone ui wise difference major noticed per usage camera clarity dynamic island also great feature redirect thing quickly
"5.0 • Great product. I just loving this phone❤️ Thank you, Flipkart￼",5,"Great product. I just loving this phone❤️ Thank you, Flipkart￼","['great', 'product', 'loving', 'thank']",great product loving thank
5.0 • Excellent. Buy it now everything is good,5,Excellent. Buy it now everything is good,"['excellent', 'buy', 'everything', 'good']",excellent buy everything good
5.0 • Utterly Disappointed. After 1 day using . My phn is heating up . Really bad experience of iphone,5,Utterly Disappointed. After 1 day using . My phn is heating up . Really bad experience of iphone,"['utterly', 'disappointed', 'day', 'using', 'phn', 'heating', 'really', 'bad', 'experience', 'iphone']",utterly disappointed day using phn heating really bad experience iphone
"5.0 • Terrific. I am buying iPhone 📱 for the first time. I have bought an iPhone, not a soap. As people say. It is a brand new phone, there is no problem. No scratches. Best deal, best offer, best phone 100% batte... more",5,"Terrific. I am buying iPhone 📱 for the first time. I have bought an iPhone, not a soap. As people say. It is a brand new phone, there is no problem. No scratches. Best deal, best offer, best phone 100% batte... more","['terrific', 'buying', 'iphone', 'first', 'time', 'bought', 'iphone', 'soap', 'people', 'say', 'brand', 'new', 'phone', 'problem', 'scratch', 'best', 'deal', 'best', 'offer', 'best', 'phone', 'batte']",terrific buying iphone first time bought iphone soap people say brand new phone problem scratch best deal best offer best phone batte
5.0 • Excellent. Awesome phone 😈,5,Excellent. Awesome phone 😈,"['excellent', 'awesome', 'phone']",excellent awesome phone
5.0 • Fabulous!. Get Genuine Product from Flipkart seller and It's iphone so nothing to say.👍🎉🎊,5,Fabulous!. Get Genuine Product from Flipkart seller and It's iphone so nothing to say.👍🎉🎊,"['fabulous', 'get', 'genuine', 'product', 'flipkart', 'seller', 'iphone', 'nothing']",fabulous get genuine product flipkart seller iphone nothing
